"Skin Name","Type","Skin Rarity","Base Value","Obtainable By"
"Bubblegum","Weatie","Rare","250","All chests / Packs"
"Bubblepop","Bayonet","Mythical","50,000,000","1000x💎"
"Bullseye","Character","Mythical","60,000,000","2 Subs on Twitch"
"Bunny","Character","Epic","150,000,000","80x 💎"
"Burger","Character","Legendary","225,000","60x 💎"
"Bush","LAR","Common","100","All chests / Packs"
"Bushido","Shark","Legendary","800,000,000","150x 💎"
"Business Cat","Character","Mythical","30,000,000","1000x💎"
"Butterflies","Bayonet","Legendary","625,000,000","Offical Giveaway"
"Camilo","Character","Common","100","All chests / Packs"
"Camouflage","SCAR","Common","100","All chests / Packs"
"Candle","Bayonet","Mythical","40,000,000","1 Sub on Twitch"
"Candy","Shark","Legendary","320,000,000","150x 💎"
"Candy Illusion","VITA","Epic","1,000","All chests / Packs"
"Cane","Bayonet","Epic","60,000,000","80x 💎"
"Canvas","Ar-9","Mythical","65,000,000","750 SRP & 150x💎 "
"Capricorn","Tomahawk","Mythical","2,000,000","All chests"
"Capy","Character","Mythical","TBD","2000x💎"
"Caramel","Character","Mythical","15,000,000","1000x💎"
"Carbon","Character","Epic","1,000","All chests / Packs"
"Carbon Fade","AR-9","Epic","1,000","All chests / Packs"
"Cargo","SCAR","Legendary","20,000","All chests"
"Caring","Bayonet","Mythical","3,000,000","1k Bayonet Kills"
"Carrot","Character","Legendary","15,000","Party Pack"
"Carrot Blaster","Revolver","Mythical","70,000,000","1000x💎"
"Carvings","Character","Mythical","50,000,000","3000 SRP & 150x💎 "
"Case Hardened","Revolver","Rare","250","All chests / Packs"
"Cassiope","VITA","Mythical","72,000,000","500 Mid-air 360 Kills"
"Catalyst","MAC-10","Mythical","5,000,000","5k MAC-10 Kills"
"Catcat","Character","Mythical","90,000,000","2000x💎"
"Celebrate","Shark","Legendary","1,000,000","8th Clan War"
"Cernunnos","Character","Rare","250","Christmas Chest"
"Ceru","Character","Mythical","500,000","150x 💎"
"Champion","Bayonet","Legendary","0","2022 Offical Tournament"
"Charmed","Bayonet","Mythical","500,000","150x 💎"
"Checker","M60","Epic","1,000","All chests / Packs"
"CheckUV","VITA","Legendary","100,000","19th Clan War"
"Cheesy","Shark","Legendary","25,000,000","2.5k Shark Kills"
"Cheetah","Character","Legendary","750,000","90x 💎"
"Cherry","Tomahawk","Mythical","1,000,000,000","1k Bayonet H/S"
"Chess","LAR","Rare","250","All chests / Packs"
"Chick","Character","Mythical","50,000,000","1000x💎"
"Chill","Character","Rare","250","Christmas Chest"
"Chillin","Character","Mythical","1,000,000","150x 💎"
"Chilly","Character","Mythical","15,000,000","850x💎"
"Choco","Character","Legendary","900,000","60x 💎"
"Chocolate","Character","Legendary","390,000,000","150x 💎"
"Christmas","Chest","Mythical","1,500","Shop"
"Chroma","LAR","Mythical","600,000","20th Clan War"
"Chromaflame","Lar","Mythical","450,000","40th Clan War"
"Chromatic","VITA","Legendary","950,000","15th Clan War"
"Chromium","Bayonet","Mythical","33,000,000","2000 SRP & 150x 💎"
"Chunkbug","Character","Mythical","15,000,000","850x💎"
"Cinder","Character","Mythical","850,000","150x 💎"
"Cipher","Character","Mythical","30,000,000","Watch 10 hours Gecko"
"Circuit","VITA","Common","2000","All chests / Packs"
"Citrouille","Character","Legendary","175,000","60x 💎"
"Cloud","Character","Mythical","15,000,000","1000x💎"
"Cloudy","AR-9","Legendary","1,800,000","7th Clan War"
"Clover","MAC-10","Mythical","500,000","150x 💎"
"Clownabeth","Character","Mythical","12,000,000","150x 💎"
"Clownicidal","Bayonet","Mythical","25,000,000","Admin Drop"
"Cocktail","Character","Mythical","20,000,000","1000x💎"
"Cold","Card","Common","500","Shop"
"Color","Character","Mythical","1,500,000","150x 💎"
"Colton","Character","Common","100","All chests / Packs"
"Complexity","Revolver","Epic","1,000","All chests / Packs"
"Constellations","Bayonet","Mythical","27,000,000","15 hours or 2 subs Gecko"
"Contrast","AR-9","Rare","250","All chests / Packs"
"Cookie","Character","Mythical","2,000,000","Watch 15 hours Kirka"
"Coolas","Character","Rare","250","All chests / Packs"
"Cornfield","Bayonet","Mythical","400,000","All chests"
"Corny","Character","Legendary","250,000","60x 💎"
"Corrupt","Character","Mythical","4,500,000","Watch 15 hours Kirka"
"Corundum","Mac-10","Legendary","1,500,000","48th Clan War"
"Cosmic Bliss","Revolver","Mythical","25,000,000","20k rev headshots"
"Cosmos","VITA","Mythical","600,000","All chests"
"Cover","VITA","Common","100","All chests / Packs"
"Cozy","Character","Rare","250","Christmas Chest"
"Cozy James","Character","Mythical","15,000,000","1000x💎"
"Crash","M60","Legendary","5,000","All chests"
"Crazy","AR-9","Legendary","550,000,000","150x 💎"
"Crimson","Revolver","Common","100","All chests / Packs"
"Crispy","Character","Mythical","2,000,000","Watch KirkaComp 1hr"
"Critical","Revolver","Common","100","All chests / Packs"
"Crosses","Revolver","Common","100","All chests / Packs"
"Cryonic","Character","Mythical","3,500,000","Watch 15 hours Kirka"
"Cryptex","Bayonet","Mythical","35,000,000","15 hrs Gecko/Boingoo"
"Crystal","MAC-10","Rare","250","All chests / Packs"
"Crystalized","Revolver","Mythical","80,000","33rd-34th Clan War"
"Cult","VITA","Epic","1,000","All chests / Packs"
"Cupcake","Character","Rare","250","Halloween Chest"
"Cuprum","Character","Common","100","All chests / Packs"
"Curry","Weatie","Epic","200,000,000","0th Clan War"
"Cv01","Bayonet","Mythical","2,000,000","42nd Clan War"
"Cwn","Character","Legendary","5,000","Christmas Chest"
"Cyan","AR-9","Rare","250","All chests / Packs"
"CYB3R","Bayonet","Mythical","350,000","43rd Clan War"
"Cyber","LAR","Legendary","10,000","All chests"
"Cyber AR-9","AR-9","Mythical","700,000","""Cyber"" 850x 💎"
"Cyber Bayonet","Bayonet","Mythical","1,200,000","""Cyber"" 850x 💎"
"Cyber LAR","LAR","Mythical","700,000","""Cyber"" 850x 💎"
"Cyber M60","M60","Mythical","800,000","""Cyber"" 850x 💎"
"Cyber MAC-10","MAC-10","Mythical","700,000","""Cyber"" 850x 💎"
"Cyber Revolver","Revolver","Mythical","700,000","""Cyber"" 850x 💎"
"Cyber SCAR","SCAR","Mythical","2,000,000","""Cyber"" 850x 💎"
"Cyber Shark","Shark","Mythical","1,500,000","""Cyber"" 850x 💎"
"Cyber Tomahawk","Tomahawk","Mythical","1,700,000","""Cyber"" 850x 💎"
"Cyber VITA","VITA","Mythical","1,500,000","""Cyber"" 850x 💎"
"Cyber Weatie","Weatie","Mythical","700,000","""Cyber"" 850x 💎"
"Cyberpunk","AR-9","Legendary","25,000","All chests"
"Cyborg","VITA","Legendary","600,000","16th Clan War"
"Cyclop","Character","Mythical","1,000,000","Watch 15 hours Kirka"
"DaBaby","Character","Rare","250","All chests / Packs"
"Damascus","Tomahawk","Mythical","1,100,000","All chests"
"Dandelion","MAC-10","Common","100","All chests / Packs"
"Danger","Revolver","Common","100","All chests / Packs"
"Darkift","Character","Mythical","35,000","Play 15 min of kirka"
"Darkweb","Character","Mythical","15,000,000","1000x💎"
"Darling","VITA","Legendary","15,000","All chests"
"Daunt","Character","Mythical","150,000,000","1000x💎"
"Daynight","Character","Mythical","100,000,000","1000x💎"
"Decor","Character","Mythical","100,000","Christmas Chest"
"Decorations","Shark","Mythical","450,000","150x 💎"
"Delicate","M60","Mythical","70,000,000","45k M60 Kills"
"Demon","SCAR","Legendary","2,200,000","15th Clan War"
"Destiny","Character","Legendary","15,000","Girls Band Pack"
"Diablo","M60","Legendary","25,000","33rd-34th Clan War"
"Diane","Shark","Mythical","550,000","150x 💎"
"dipolar","Character","Mythical","15,000,000","1000x💎"
"Dissident","Shark","Legendary","1,500,000,000","Glitched in chests/marketed"
"Distortion","MAC-10","Mythical","175,000","40th Clan War"
"Dob","Character","Common","100","All chests / Packs"
"Donut","MAC-10","Rare","250","All chests / Packs"
"Doom","Character","Legendary","10,000","Halloween Chest"
"Dradeer","Character","Legendary","5,000","Christmas Chest"
"Dragon","Character","Mythical","750,000","Watch 15 hours Kirka"
"Dragon Shark","Shark","Mythical","650,000","41st Clan War"
"Dragonic","Character","Mythical","20,000,000","1000x💎"
"Dragonic AR-9","AR-9","Mythical","700,000","""Dragonic"" 850x 💎"
"Dragonic Bayonet","Bayonet","Mythical","1,000,000","""Dragonic"" 850x 💎"
"Dragonic LAR","LAR","Mythical","500,000","""Dragonic"" 850x 💎"
"Dragonic M60","M60","Mythical","500,000","""Dragonic"" 850x 💎"
"Dragonic MAC-10","MAC-10","Mythical","500,000","""Dragonic"" 850x 💎"
"Dragonic Revolver","Revolver","Mythical","700,000","""Dragonic"" 850x 💎"
"Dragonic SCAR","SCAR","Mythical","2,000,000","""Dragonic"" 850x 💎"
"Dragonic Shark","Shark","Mythical","1,000,000","""Dragonic"" 850x 💎"
"Dragonic Tomahawk","Tomahawk","Mythical","700,000","""Dragonic"" 850x 💎"
"Dragonic VITA","VITA","Mythical","1,500,000","""Dragonic"" 850x 💎"
"Dragonic Weatie","Weatie","Mythical","500,000","""Dragonic"" 850x 💎"
"Drake","Bayonet","Mythical","600,000","All chests"
"Dreamscape","Lar","Mythical","50,000,000","50k Lar Kills"
"Druboor","Character","Epic","1,000","Halloween Chest"
"Duelist","Character","Mythical","750,000,000","Gift for Kaz3"
"Dynasty","Character","Mythical","500,000","150x💎"
"Easter","Bayonet","Legendary","110,000,000","150x 💎"
"Eci","Bayonet","Mythical","600,000","150x💎"
"Eclipse","Bayonet","Mythical","500,000","150x 💎"
"Egg Hunt","Shark","Mythical","6,000,000","150x 💎"
"Eggs","Bayonet","Mythical","600,000","150x 💎"
"Eleanor","Character","Mythical","35,000,000","1000x💎"
"Electra","Bayonet","Mythical","15,000,000","5k Bayonet Kills"
"Elf","Character","Mythical","650,000","Watch 15 hours Kirka"
"Elijah","Character","Mythical","2,000,000","""Hot Rod"" 850x 💎"
"Elizabeth","Character","Default","0","Default Item"
"Ellie","Character","Rare","250","All chests / Packs"
"Elmoo","Character","Common","100","All chests / Packs"
"Elves","Character","Paranormal","430,000,000","Christmas Chest"
"Elysian","Shark","Mythical","60,000,000","25k Shark Kills"
"Ember","Character","Mythical","550,000","watch 15 hours Kirka"
"Emoo","Character","Common","100","All chests / Packs"
"Emperor","Character","Mythical","20,000,000","1000x💎"
"Employed","Character","Mythical","50,000,000","1000x💎"
"Empress","VITA","Legendary","3,500,000","12th Clan War"
"Enderman","Character","Epic","1,000","All chests / Packs"
"Endless","Character","Mythical","35,000,000","Watch 15 hours Kirka"
"Engravement","Bayonet","Mythical","500,000","All chests"
"Entity","Character","Mythical","80,000,000","2000x💎"
"Equalizer","Scar","Mythical","60,000,000","65k Scar Kills"
"Error","Character","Mythical","4,000,000","Watch 15 hours Kirka"
"Eruption","Bayonet","Legendary","150,000","17 & 18th Clan War"
"Esto","Character","Rare","250","All chests / Packs"
"Eva","AR-9","Legendary","20,000","All chests"
"Eve","Character","Mythical","200,000","Christmas Chest"
"Evening","Weatie","Common","100","All chests / Packs"
"Fabric","AR-9","Common","200","All chests / Packs"
"Fade","Revolver","Legendary","10,000","All chests"
"Faded","Bayonet","Mythical","40,000,000","5k Bayonet Kills"
"Fading Waves","Weatie","Epic","1,000","All chests / Packs"
"Fallen","VITA","Mythical","22,500,000","1000 KLO & 150x 💎"
"Fallout","Vita","Mythical","750,000","150x 💎"
"Fangs","Character","Mythical","400,000,000","1750 SRP & 150x💎 "
"Fanny","Character","Mythical","5,000,000","Watch 15 hours Kirka"
"Fathom","Shark","Mythical","57,500,000","25k Shark HS"
"Feathered","LAR","Mythical","40,000,000","35,000 kills with LAR"
"Ferrum","Character","Common","100","All chests / Packs"
"Festive","Revolver","Legendary","750,000","8th Clan War"
"Fever","Scar","Mythical","250,000","39th Clan War"
"Fih","Character","Rare","250","Christmas Chest"
"Finite","Character","Mythical","110,000,000","1000x💎"
"Finx","Character","Epic","1,000","Christmas Chest"
"Fire","MAC-10","Legendary","15,000","All chests"
"Firecracker","Bayonet","Mythical","1,500,000","150x 💎"
"Firedemon","Character","Legendary","2,800,000","Halloween Chest"
"Firefighter","Character","Epic","1,000","Halloween Chest"
"Firestorm","Mac-10","Mythical","52,000,000","45k Mac-10 Kills"
"Flaming","Bayonet","Mythical","125,000,000","10k Bayonet Kills"
"Flarefang","Bayonet","Mythical","800,000","39th Clan War"
"Fleur","Character","Legendary","1,000,000","60x 💎"
"Floatie","Character","Mythical","TBD","17 Daily Streak"
"Flow","Revolver","Epic","1,000","All chests / Packs"
"Flower","Shark","Mythical","4,500,000","150x 💎"
"Flowerpower","Character","Mythical","165,000,000","1000x💎"
"Flowers","Character","Mythical","70,000,000","Sub to Kirka Twitch Stream"
"Flowstate","Vita","Mythical","450,000,000","Gift for Flow Members"
"Fluorescent","Vita","Mythical","696,969,696","Gift for Bloom"
"Foil","Character","Mythical","35,000","Play 15 min of kirka"
"Foolish","Character","Mythical","500,000","150x 💎"
"Forbidden","Ar-9","Mythical","1,000,000","44tb Clan War"
"Forest","SCAR","Rare","250","All chests / Packs"
"Forge","Bayonet","Legendary","900,000,000","Offical Giveaway"
"Fortunado","Character","Legendary","1,000,000","60x 💎"
"Fortunate","Shark","Mythical","500,000","150x 💎"
"Fraboon","Character","Mythical","600,000","150x 💎"
"Fractal","Vita","Mythical","2,000,000","46th clan war"
"Fragile","VITA","Mythical","5,000,000","10K VITA Kills"
"Franken James","Character","Legendary","10,000","Halloween Chest"
"Frau","Character","Mythical","15,000,000","1000x💎"
"Friendly","SCAR","Common","5,000","All chests / Packs"
"Frosty","Character","Epic","1,000","All chests / Packs"
"Frozen","Character","Paranormal","30,000,000","Cold Pack"
"Fruchtebrot","Character","Legendary","200,000","60x 💎"
"Fudge","VITA","Mythical","500,000","150x 💎"
"Fumes","Bayonet","Mythical","2,500,000","47th Clan War"
"Fun","LAR","Rare","250","All chests / Packs"
"Fur","VITA","Epic","1,000","All chests / Packs"
"Fusion","Bayonet","Legendary","2,500,000","48th Clan War"
"Gaia","Character","Mythical","2,000,000","150x 💎"
"Galaxy","LAR","Epic","1,000","All chests / Packs"
"Gamma","Character","Mythical","40,000,000","1000x💎"
"Ganache","Revolver","Mythical","700,000","150x 💎"
"Garden","Lar","Mythical","15,000,000","1000x💎"
"Gardener","Bayonet","Mythical","15,000,000","1000x💎"
"Gazer","Character","Mythical","50,000,000","1000x💎"
"Gem","M60","Rare","250","All chests / Packs"
"Gem Stone","Character","Mythical","600,000","Watch 15 hours Kirka"
"Gentleman","Character","Mythical","40,000,000","1000x💎"
"Geode","Character","Paranormal","40,000,000","Periodic Pack"
"George","M60","Common","100","All chests / Packs"
"GGLITCH","Character","Mythical","2,000,000","""Cyber"" 850x 💎"
"Ghillie","Character","Mythical","3,000,000","Soldiers Pack"
"Ghost","VITA","Epic","1,000","All chests / Packs"
"Ghosta","Character","Epic","1,000","Halloween Chest"
"Ghoul","Character","Mythical","11,000,000","500 Games Played"
"Gift","VITA","Epic","600,000,000","80x 💎"
"Gifted","Character","Paranormal","120,000,000","Christmas Chest"
"Gifto","Character","Epic","1,000","Christmas Chest"
"Gilded","VITA","Legendary","500,000","33rd-34th Clan War"
"Gingerman","Character","Legendary","2,000,000,000","150x 💎"
"Gingy","Character","Mythical","125,000","Christmas Chest"
"Girls band","Card","Common","500","Shop"
"Glacial","Weatie","Epic","1,000","All chests / Packs"
"Glance","Bayonet","Legendary","3,500,000","12th Clan War"
"Glitter","Bayonet","Mythical","2,000,000","150x 💎"
"Globe","VITA","Legendary","2,000,000","7th Clan War"
"Gloop","Shark","Paranormal","25,000,000","All chests"
"Gloopies","Lar","Mythical","500,000","150x 💎"
"Gluerf","Character","Legendary","200,000","50 KLO & 60x 💎"
"Goat","Character","Mythical","500,000,000","3000 SRP & 150x 💎"
"Goblin","Character","Mythical","50,000,000","1000x💎"
"Godzilla","AR-9","Legendary","2,500,000","14th Clan War"
"Goge","Character","Rare","250","All chests / Packs"
"Gold","VITA","Legendary","1,550,000,000","0th Clan War"
"Gold Coins","Bayonet","Legendary","2,500,000"," Watch 15 hours Kirka"
"Golden","Chest","Legendary","1,000","Shop"
"Golem","Character","Mythical","15,000,000","1000x💎"
"Gonzo","Character","Mythical","40,000,000","2000x💎"
"Gore","Character","Mythical","15,000,000","1000x💎"
"Grass","Weatie","Rare","250","All chests / Packs"
"Gray","Character","Rare","250","All chests / Packs"
"Graya","Character","Common","100","All chests / Packs"
"Grayscale","Character","Mythical","50,000,000","1000x💎"
"Greg","AR-9","Rare","250","All chests / Packs"
"Grinch","Character","Epic","550,000,000","80x 💎"
"Grinchette","Character","Mythical","500,000","2,500 Score"
"Gryla","Character","Epic","1,000","Christmas Chest"
"Gummybear","Character","Mythical","25,000,000","1000x💎"
"Guts","Character","Legendary","250,000","60x 💎"
"Gwen","Character","Mythical","5,500,000","Watch 15 hours Kirka"
"Hadley","M60","Epic","1,000","All chests / Packs"
"Halloween","Chest","Common","5,000","Shop"
"Hallowkod","Character","Mythical","1,000,000","Watch 15 hours Kirka"
"Hannah","AR-9","Epic","1,000","All chests / Packs"
"Hans","Character","Mythical","20,000,000","1000x💎"
"Hans trapp","Character","Rare","250","Christmas Chest"
"Hardened","VITA","Epic","1,000","All chests / Packs"
"Hazmat","Character","Paranormal","35,000,000","Soldiers Pack"
"Headless","Character","Mythical","1,200,000","Watch 15 hours Kirka"
"Heart","SCAR","Epic","1,000","All chests / Packs"
"Heartbeat","Shark","Mythical","6,000,000","150x 💎"
"Hearted","Shark","Mythical","25,000,000","2.5k Shark Kills"
"Hearts","Character","Mythical","3,800,000","150x 💎"
"Heather","Bayonet","Mythical","500,000","150x 💎"
"Heatwave","VITA","Legendary","10,000","All chests"
"Heavy","Lar","Mythical","10,000,000","25000 LAR Kills"
"Height","Revolver","Legendary","5,000","All chests"
"Helendus","Vita","Mythical","140,000,000","50,000 vita headshots"
"Hell let loose","M60","Legendary","250,000","All chests"
"Hellbent","Shark","Mythical","1,500,000","2.5K Shark Kills"
"Hellcat","Character","Mythical","45,000,000","1000x💎"
"Hellizabeth","Character","Mythical","200,000","Halloween Chest"
"Hellspawn","Character","Epic","2,000,000","Halloween Chest"
"Hex","Revolver","Common","100","All chests / Packs"
"Hexagon","M60","Rare","250","All chests / Packs"
"Hi-Score","Shark","Mythical","50,000,000","Watch 15 hours Gecko"
"Hideyoshi","Character","Epic","110,000,000","80x 💎"
"Hippy","Character","Epic","1,000","All chests / Packs"
"Hologram","Revolver","Mythical","400,000","All chests"
"Honey","Bayonet","Mythical","600,000","All chests"
"Honeybear","Character","Mythical","100,000,000","2000x 💎"
"Honeyboo","Character","Mythical","15,000,000","1000x💎"
"Hope","M60","Rare","250","All chests / Packs"
"Hot Rod","Bayonet","Mythical","700,000","2.5k Melee Kills"
"Hotrod AR-9","AR-9","Mythical","1,000,000","""Hot Rod"" 850x 💎"
"Hotrod Bayonet","Bayonet","Mythical","1,500,000","""Hot Rod"" 850x 💎"
"Hotrod LAR","LAR","Mythical","1,000,000","""Hot Rod"" 850x 💎"
"Hotrod M60","M60","Mythical","800,000","""Hot Rod"" 850x 💎"
"Hotrod MAC-10","MAC-10","Mythical","850,000","""Hot Rod"" 850x 💎"
"Hotrod Revolver","Revolver","Mythical","1,000,000","""Hot Rod"" 850x 💎"
"Hotrod SCAR","SCAR","Mythical","1,500,000","""Hot Rod"" 850x 💎"
"Hotrod Shark","Shark","Mythical","1,500,000","""Hot Rod"" 850x 💎"
"Hotrod Tomahawk","Tomahawk","Mythical","2,000,000","""Hot Rod"" 850x 💎"
"Hotrod VITA","VITA","Mythical","1,500,000","""Hot Rod"" 850x 💎"
"Hotrod Weatie","Weatie","Mythical","800,000","""Hot Rod"" 850x 💎"
"Howl","LAR","Legendary","35,000,000","16th Clan War"
"Hubbard","VITA","Epic","1,000","All chests / Packs"
"Huney","Character","Mythical","20,000,000","1000x💎"
"Hunter","VITA","Common","100","All chests / Packs"
"Hypnotic","Bayonet","Mythical","600,000","2.5k Bayonet Kills"
"Ice","Chest","Epic","500","Shop"
"Ice Breaker","Bayonet","Mythical","900,000","40th Clan War"
"Ice Cold","Shark","Legendary","4,500,000","484 Shark H/S"
"Icey","Character","Legendary","350,000","60x 💎"
"Icing","Bayonet","Mythical","500,000","150x 💎"
"Illusionist","Character","Mythical","40,000,000","2000x💎"
"IMGERROR","Character","Mythical","35,000","Play 15 min of kirka"
